Project Name,Selected Models,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),Scope,Compliance Cost,Daily Data Volume (GB),Cost_Likert_1to7,Estimated_Cost_USD,New Risk
IBM Watson for Oncology,Conditional Random Field (CRF)+A3C (Asynchronous Advantage Actor-Critic)+Random Forest,auto+indirect,predictive,numeric+textual,semi-structured,semi-stable,high,Global,Very-High,0.5,3,7077000,3.15
Meta Celebrity AI Chatbots,DQN (Deep Q-Network)+Transformer (Encoder-Decoder)+Generative Adversarial Network (GAN),auto+opaque,predictive,image,semi-structured,semi-stable,high,Department,Moderate,0.5,2,2430000,3.69
McDonald's AI Drive-Thru,Autoencoder+Generative Adversarial Network (GAN)+Diffusion Model,auto,descriptive+predictive,image,semi-structured,semi-stable,high+medium,Enterprise,High,20,3,7946000,3.13
Amazon AI Recruitment Tool,Naive Bayes'+Decision Tree+Bayesian Network,direct,assistive+predictive,image+numeric,semi-structured,semi-stable,low+medium,Proof of Concept,High,0.2,2,1666000,2.42
Uber Self-Driving Car,DQN (Deep Q-Network)+Capsule Network+Generative Adversarial Network (GAN),auto+opaque,predictive,image,semi-structured,semi-stable,high,Multi-site-National,Very-High,4000,3,19307000,3.69
Microsoft Tay Chatbot,DQN (Deep Q-Network)+Generative Adversarial Network (GAN)+Autoencoder,auto,descriptive+predictive,image,semi-structured,semi-stable,high+medium,Department,Moderate,0.2,2,2132000,3.13
Google Duplex,Hidden Markov Model (HMM)+Convolutional Neural Network (CNN)+T5 (Text-to-Text Transfer Transformer),indirect+opaque,predictive,audio+image,semi-structured,semi-stable,high+medium,Department,Low,50,2,3376000,3.48
Zillow Offers,Random Forest+Decision Tree+Autoencoder,auto+direct+indirect,descriptive+predictive,image+numeric,semi-structured,semi-stable,low+medium,Department,Moderate,1,2,2096000,2.46
Grok AI Surveillance,Generative Adversarial Network (GAN)+Neural Radiance Fields (NeRF)+DQN (Deep Q-Network),auto,descriptive+predictive,image,semi-structured,semi-stable,high,Proof of Concept,Very-High,0.5,2,3376000,3.31
AI in Energy (GCC),Autoencoder+Gaussian Mixture Model (GMM)+One-Class SVM,auto+indirect+opaque,descriptive,image+numeric,semi-structured,semi-stable,medium,Global,Moderate,1,3,5623000,2.53
Apple Maps (2012),Autoencoder+PPO (Proximal Policy Optimization)+MuZero,auto,descriptive+predictive,image+numeric+textual,semi-structured,semi-stable,high+medium,Enterprise,Low,40,2,3096000,3.01
JPMorgan COIN,Bayesian Network+Random Forest+Decision Tree,direct+indirect,assistive+predictive,numeric,semi-structured,semi-stable,low+medium,Department,High,0.2,2,1808000,2.39
Google Flu Trends,Decision Tree+k-Nearest Neighbors (k-NN)+Linear Regression,direct+indirect,predictive,numeric,semi-structured,semi-stable,low,Proof of Concept,Very-High,0.5,2,2061000,2.36
Clearview AI,DQN (Deep Q-Network)+Generative Adversarial Network (GAN)+Diffusion Model,auto,predictive,image,semi-structured,semi-stable,high,Proof of Concept,Very-High,250,3,7197000,3.6
Facebook Trending Algorithm,Generative Adversarial Network (GAN)+DQN (Deep Q-Network)+Diffusion Model,auto,predictive,image,semi-structured,semi-stable,high,Department,Moderate,0.5,2,2430000,3.6
Tesla Autopilot,DQN (Deep Q-Network)+Generative Adversarial Network (GAN)+Diffusion Model,auto,predictive,image,semi-structured,semi-stable,high,Department,Very-High,4000,3,10000000,3.6
NYC MyCity Chatbot (Ed),DQN (Deep Q-Network)+Generative Adversarial Network (GAN)+GPT (Generative Pre-trained Transformer),auto+opaque,predictive,image,semi-structured,semi-stable,high,Proof of Concept,Very-High,0.5,2,3376000,3.69
Air Canada Chatbot,DQN (Deep Q-Network)+Generative Adversarial Network (GAN)+Diffusion Model,auto,predictive,image,semi-structured,semi-stable,high,Department,Moderate,0.2,2,2132000,3.6
ChatGPT Legal Brief,DQN (Deep Q-Network)+GPT (Generative Pre-trained Transformer)+Generative Adversarial Network (GAN),auto+opaque,predictive,image,semi-structured,semi-stable,high,Proof of Concept,Moderate,0.5,2,1749000,3.69
Oracle AI Recruitment Tool,Naive Bayes'+DBSCAN+Bayesian Network,direct+indirect,assistive+descriptive+predictive,image+numeric,semi-structured,semi-stable,low+medium,Proof of Concept,High,0.2,2,1666000,2.37
GM Cruise Robotaxi,DQN (Deep Q-Network)+Generative Adversarial Network (GAN)+Diffusion Model,auto,predictive,image,semi-structured,semi-stable,high,Multi-site-National,Very-High,4000,3,19307000,3.6
Forward (AI CarePods),Autoencoder+Gaussian Mixture Model (GMM)+Random Forest,auto+indirect,descriptive+predictive,image+numeric,semi-structured,semi-stable,medium,Enterprise,Very-High,1,3,5623000,2.73
LAUSD 'Ed' Chatbot,Neural Radiance Fields (NeRF)+Gaussian Mixture Model (GMM)+AdaBoost,auto+indirect+opaque,descriptive+predictive,image+numeric,semi-structured,semi-stable,high+medium,Department,Moderate,0.2,2,1666000,3.01
Voiceverse NFT (15.ai),Hidden Markov Model (HMM)+T5 (Text-to-Text Transfer Transformer)+Diffusion Model,auto+indirect+opaque,predictive,audio+image,semi-structured,semi-stable,high+medium,Department,Low,20,2,2962000,3.48
Stability AI (Stable Diffusion),Diffusion Model+Neural Radiance Fields (NeRF)+Variational Autoencoder (VAE),auto,descriptive+predictive,image,semi-structured,semi-stable,high,Proof of Concept,Low,250,2,2683000,3.31
Innodata 'GoldenGate',GPT (Generative Pre-trained Transformer)+Neural Radiance Fields (NeRF)+Perceiver IO,auto+opaque,descriptive+predictive,image,semi-structured,semi-stable,high,Department,Moderate,0.2,2,2132000,3.4
Evolv Express Scanner,Gaussian Mixture Model (GMM)+Random Forest+Principal Component Analysis (PCA),indirect,descriptive+predictive,numeric,semi-structured,semi-stable,medium,Enterprise,Moderate,1,2,2276000,2.52
Oddity AI (Beauty Matching),DQN (Deep Q-Network)+Generative Adversarial Network (GAN)+Diffusion Model,auto,predictive,image,semi-structured,semi-stable,high,Multi-site-National,Low,100,3,7197000,3.6
Telus AI Data Solutions,Naive Bayes'+Gaussian Mixture Model (GMM)+DBSCAN,direct+indirect,descriptive+predictive,image+numeric,semi-structured,semi-stable,low+medium,Department,Moderate,0.2,2,1666000,2.37
Apple Siri Assistant,Autoencoder+Decision Tree+Multilayer Perceptron (MLP),auto+direct+opaque,descriptive+predictive,image+numeric,semi-structured,semi-stable,low+medium,Department,Low,20,2,2314000,2.58
Amazon Alexa (Election Q&A),DQN (Deep Q-Network)+Autoencoder+Generative Adversarial Network (GAN),auto,descriptive+predictive,image,semi-structured,semi-stable,high+medium,Proof of Concept,Moderate,0.2,2,1534000,3.13
Uber Self-Driving Car Crash,Convolutional Neural Network (CNN)+DQN (Deep Q-Network)+Generative Adversarial Network (GAN),auto+opaque,predictive,image,semi-structured,semi-stable,high,Department,Very-High,250,3,10000000,3.69
Google Image Search (bias),Generative Adversarial Network (GAN)+DQN (Deep Q-Network)+Diffusion Model,auto,predictive,image,semi-structured,semi-stable,high,Multi-site-National,Low,250,3,7197000,3.6
Japan Fifth Gen Project,Bayesian Network+Linear Regression+ARIMA,direct,assistive+predictive,numeric,semi-structured,semi-stable,low+medium,Proof of Concept,Very-High,0.5,2,2061000,2.3
GE Predix Platform,Gaussian Mixture Model (GMM)+Principal Component Analysis (PCA)+Isolation Forest,indirect,descriptive,numeric,semi-structured,semi-stable,low+medium,Enterprise,Moderate,1,2,2276000,2.05
iTutorGroup Hiring Algo,Naive Bayes'+Decision Tree+k-Nearest Neighbors (k-NN),direct+indirect,predictive,image+numeric,semi-structured,semi-stable,low,Proof of Concept,High,0.1,2,1509000,2.48
Sports Illustrated AI Articles,DQN (Deep Q-Network)+GPT (Generative Pre-trained Transformer)+Generative Adversarial Network (GAN),auto+opaque,predictive,image,semi-structured,semi-stable,high,Proof of Concept,Moderate,0.5,2,1749000,3.69
COMPAS Recidivism Algorithm,Logistic Regression+Decision Tree+Linear Regression,direct,predictive,numeric,semi-structured,semi-stable,low,Enterprise,Moderate,0.5,2,2061000,2.27
Allegheny Child Welfare Tool,Gaussian Mixture Model (GMM)+Principal Component Analysis (PCA)+Isolation Forest,indirect,descriptive,numeric,semi-structured,semi-stable,low+medium,Enterprise,Very-High,1,2,4394000,2.05
Google Photos Tagging (Gorillas),Neural Radiance Fields (NeRF)+Generative Adversarial Network (GAN)+DQN (Deep Q-Network),auto,descriptive+predictive,image,semi-structured,semi-stable,high,Multi-site-National,Low,250,3,7197000,3.31
Microsoft Tay (duplicate),DQN (Deep Q-Network)+Generative Adversarial Network (GAN)+Autoencoder,auto,descriptive+predictive,image,semi-structured,semi-stable,high+medium,Department,Moderate,0.2,2,2132000,3.13
Facebook Negotiation Chatbots,YOLO (You Only Look Once)+GPT (Generative Pre-trained Transformer)+Neural Radiance Fields (NeRF),auto+opaque,descriptive+predictive,image,semi-structured,semi-stable,high+medium,Proof of Concept,Moderate,0.2,2,1534000,3.22
